N,p,workload,comparison,metric,comparison_mean,GRR_mean,diff_mean,ci95_low,ci95_high,paired_t_p,wilcoxon_p,paired_t_p_holm,wilcoxon_p_holm
1001,0.05,uniform,RotatingGreedy,mean_wait,0.05257246201995288,0.5140484151491135,-0.46147595312916057,-0.462189567795323,-0.46076233846299813,2.5864732974521595e-30,0.00048828125,3.6210626164330233e-28,0.0703125
1001,0.05,uniform,RotatingGreedy,max_wait,3.5833333333333335,2.0,1.5833333333333333,1.256163277639326,1.9105033890273406,3.9205051334221997e-07,0.00048828125,1.1369464886924379e-05,0.0703125
1001,0.05,uniform,RotatingGreedy,jain,0.9938037656565525,0.9939430160280033,-0.00013925037145069244,-0.00018522110683582234,-9.327963606556254e-05,3.529228275602099e-05,0.00048828125,0.0008470147861445038,0.0703125
1001,0.2,hotspot,AgeMIS,throughput,165.83705555555557,160.11891666666665,5.7181388888888875,5.6779659018685775,5.758311875909198,4.40032680306989e-23,0.00048828125,4.356323535039191e-21,0.0703125
1001,0.2,hotspot,AgeMIS,mean_wait,0.3472170994143233,0.626599253109573,-0.2793821536952495,-0.28002004854146445,-0.27874425884903453,1.8805592476672295e-28,0.00048828125,2.3695046520607092e-26,0.0703125
1001,0.2,hotspot,AgeMIS,max_wait,4.833333333333333,2.0,2.8333333333333335,2.5860160179637637,3.0806506487029033,4.395010643878468e-11,0.00048828125,2.197505321939234e-09,0.0703125
1001,0.2,hotspot,AgeMIS,jain,0.7140019932106606,0.6924496039510247,0.02155238925963589,0.021368143664216632,0.02173663485505515,3.8090012958222665e-22,0.00048828125,3.390011153281817e-20,0.0703125
1001,0.2,hotspot,GuardedFill,throughput,165.7541111111111,160.11891666666665,5.6351944444444415,5.601964044914264,5.668424843974619,6.411763507616222e-24,0.00048828125,6.604116412844709e-22,0.0703125
1001,0.2,hotspot,GuardedFill,mean_wait,0.3535466592620267,0.626599253109573,-0.27305259384754615,-0.2735625357623264,-0.2725426519327659,2.0618608148270988e-29,0.00048828125,2.7835121000165833e-27,0.0703125
1001,0.2,hotspot,GuardedFill,max_wait,2.0,2.0,0.0,0.0,0.0,,1.0,1.0,1.0
1001,0.2,hotspot,GuardedFill,jain,0.7132073427086523,0.6924496039510247,0.02075773875762757,0.020621996499629838,0.0208934810156253,1.9995376011804673e-23,0.00048828125,2.019532977192272e-21,0.0703125
1001,0.2,hotspot,RotatingGreedy,throughput,165.67430555555558,160.11891666666665,5.555388888888889,5.523488363723391,5.587289414054387,4.7864146550369815e-24,0.00048828125,5.061352691386058e-22,0.0703125
1001,0.2,hotspot,RotatingGreedy,mean_wait,0.3487769567190086,0.626599253109573,-0.2778222963905643,-0.2783898558288556,-0.27725473695227304,5.532536118145471e-29,0.00048828125,7.192296953589113e-27,0.0703125
1001,0.2,hotspot,RotatingGreedy,max_wait,19.583333333333332,2.0,17.583333333333332,15.639884976870135,19.52678168979653,5.598991663911412e-10,0.00048828125,2.5195462487601355e-08,0.0703125
1001,0.2,hotspot,RotatingGreedy,jain,0.7126698564478534,0.6924496039510247,0.020220252496828555,0.019920261726352605,0.020520243267304505,1.6356528458190692e-19,0.00048828125,1.1940265774479205e-17,0.0703125
1001,0.2,uniform,AgeMIS,throughput,191.30730555555553,180.04174999999998,11.265555555555542,11.229665579652968,11.301445531458116,7.338945028263303e-27,0.00048828125,8.880123484198597e-25,0.0703125
