N,p,workload,rep,algorithm,throughput,mean_wait,p95_wait,p99_wait,max_wait,jain
5,0.05,uniform,28,AgeMIS,0.246,0.04878048780487805,0,1,1,0.9988446175684151
5,0.05,uniform,28,GuardedFill,0.2457,0.04884004884004884,0,1,2,0.9988507221042408
5,0.05,uniform,29,GRR,0.2425,0.8189690721649484,2,2,2,0.9996141355574084
5,0.05,uniform,29,RotatingGreedy,0.2506,0.061452513966480445,1,1,2,0.9996237106838151
5,0.05,uniform,29,AgeMIS,0.2506,0.061452513966480445,1,1,1,0.9996237106838151
5,0.05,uniform,29,GuardedFill,0.2505,0.0626746506986028,1,1,2,0.9996447491777856
5,0.05,hotspot,0,GRR,0.2206,0.8871260199456029,2,2,2,0.3150508432001792
5,0.05,hotspot,0,RotatingGreedy,0.2514,0.02028639618138425,0,1,2,0.2982706032760612
5,0.05,hotspot,0,AgeMIS,0.2512,0.01950636942675159,0,1,1,0.2983718536318497
5,0.05,hotspot,0,GuardedFill,0.2513,0.020294468762435337,0,1,1,0.29832120279512164
5,0.05,hotspot,1,GRR,0.2166,0.8702677746999077,2,2,2,0.31691758349765026
5,0.05,hotspot,1,RotatingGreedy,0.2451,0.021215830273357814,0,1,2,0.2996146465723295
5,0.05,hotspot,1,AgeMIS,0.245,0.019591836734693877,0,1,1,0.30022497491664724
5,0.05,hotspot,1,GuardedFill,0.2452,0.020799347471451877,0,1,2,0.29984026284068827
5,0.05,hotspot,2,GRR,0.2181,0.8867491976157725,2,2,2,0.3293659715382205
5,0.05,hotspot,2,RotatingGreedy,0.2505,0.023952095808383235,0,1,3,0.30938345177372156
5,0.05,hotspot,2,AgeMIS,0.25,0.022,0,1,1,0.3096729952265766
5,0.05,hotspot,2,GuardedFill,0.2503,0.022772672792648822,0,1,1,0.3094990889179972
5,0.05,hotspot,3,GRR,0.2196,0.8665755919854281,2,2,2,0.3211742962847029
5,0.05,hotspot,3,RotatingGreedy,0.2492,0.024879614767255216,0,1,2,0.30300814210105925
5,0.05,hotspot,3,AgeMIS,0.2486,0.022123893805309734,0,1,1,0.3033330732015692
5,0.05,hotspot,3,GuardedFill,0.249,0.024096385542168676,0,1,1,0.3031162290211508
5,0.05,hotspot,4,GRR,0.2248,0.8874555160142349,2,2,2,0.3330227715301506
5,0.05,hotspot,4,RotatingGreedy,0.2528,0.02254746835443038,0,1,2,0.3145998254406688
5,0.05,hotspot,4,AgeMIS,0.2523,0.02140309155766944,0,1,1,0.31490328473968965
5,0.05,hotspot,4,GuardedFill,0.2525,0.02178217821782178,0,1,1,0.3147817122594594
5,0.05,hotspot,5,GRR,0.2252,0.872113676731794,2,2,2,0.3268728384128617
5,0.05,hotspot,5,RotatingGreedy,0.257,0.025680933852140077,0,1,2,0.30767188311552196
5,0.05,hotspot,5,AgeMIS,0.2566,0.02299298519095869,0,1,1,0.3078932663212251
5,0.05,hotspot,5,GuardedFill,0.2568,0.024922118380062305,0,1,2,0.3077824631001692
5,0.05,hotspot,6,GRR,0.212,0.8773584905660378,2,2,2,0.32431223278552485
5,0.05,hotspot,6,RotatingGreedy,0.2416,0.018625827814569538,0,1,1,0.3058731055385715
5,0.05,hotspot,6,AgeMIS,0.2415,0.018219461697722567,0,1,1,0.3059307197513622
5,0.05,hotspot,6,GuardedFill,0.2417,0.019031857674803476,0,1,1,0.30581555286424844
5,0.05,hotspot,7,GRR,0.222,0.8896396396396397,2,2,2,0.3115084431657004
5,0.05,hotspot,7,RotatingGreedy,0.2527,0.024930747922437674,0,1,2,0.2944319069655282
5,0.05,hotspot,7,AgeMIS,0.2521,0.021420071400238,0,1,1,0.29525247910089664
5,0.05,hotspot,7,GuardedFill,0.2525,0.023762376237623763,0,1,1,0.2950584748568875
5,0.05,hotspot,8,GRR,0.2205,0.8648526077097506,2,2,2,0.3334471793785035
5,0.05,hotspot,8,RotatingGreedy,0.2477,0.023011707710940653,0,1,2,0.3151380876645247
5,0.05,hotspot,8,AgeMIS,0.2472,0.021035598705501618,0,1,1,0.3154496826807821
5,0.05,hotspot,8,GuardedFill,0.2476,0.022617124394184167,0,1,2,0.3152002747588919
5,0.05,hotspot,9,GRR,0.2179,0.8898577329050023,2,2,2,0.3277520702631416
5,0.05,hotspot,9,RotatingGreedy,0.2497,0.02683219863836604,0,1,2,0.30869491060114224
5,0.05,hotspot,9,AgeMIS,0.2493,0.02527075812274368,0,1,1,0.30892538802387975
5,0.05,hotspot,9,GuardedFill,0.2498,0.02722177742193755,0,1,2,0.30863744076415417
5,0.05,hotspot,10,GRR,0.2223,0.8785425101214575,2,2,2,0.32639258621526646
5,0.05,hotspot,10,RotatingGreedy,0.2531,0.020545239035954167,0,1,2,0.30762963107030167
5,0.05,hotspot,10,AgeMIS,0.2529,0.018979833926453145,0,1,1,0.308022732411602
5,0.05,hotspot,10,GuardedFill,0.2531,0.019755037534571317,0,1,1,0.3079101325689528
5,0.05,hotspot,11,GRR,0.2162,0.8570767807585569,2,2,2,0.3241667048100943
5,0.05,hotspot,11,RotatingGreedy,0.2475,0.02101010101010101,0,1,2,0.30680903824804623
