N,p,workload,rep,algorithm,throughput,mean_wait,p95_wait,p99_wait,max_wait,jain,pending_end,max_pending_age,runtime_s,hot_p,cold_p
10001,0.2,uniform,4,GuardedFill,1905.3008333333332,0.2482258925865163,1,1,2,0.9968659847033995,489,1,0.2815915479999944,0.2,0.2
10001,0.2,hotspot,0,GRR,1599.8508333333334,0.6257484421724734,1,1,2,0.690993845733587,981,1,0.1905195489999869,0.8,0.13334073991778692
10001,0.2,hotspot,0,RotatingGreedy,1654.6583333333333,0.34926394673623457,2,3,14,0.7145401687614752,569,9,0.22400883500000646,0.8,0.13334073991778692
10001,0.2,hotspot,0,AgeMIS,1656.2258333333334,0.3479301081625845,1,2,6,0.7135193884594183,577,3,0.27135988699996005,0.8,0.13334073991778692
10001,0.2,hotspot,0,GuardedFill,1656.1108333333334,0.35344906968283624,1,1,2,0.7119365453046066,579,1,0.24940456500002028,0.8,0.13334073991778692
10001,0.2,hotspot,1,GRR,1601.5125,0.6251980549636672,1,1,2,0.6915900497404476,1016,1,0.1890758039999696,0.8,0.13334073991778692
10001,0.2,hotspot,1,RotatingGreedy,1655.935,0.3492462969057763,2,3,22,0.7148969508853801,566,5,0.21536880900004007,0.8,0.13334073991778692
10001,0.2,hotspot,1,AgeMIS,1657.4208333333333,0.3479582986618265,1,2,5,0.7139417115142087,573,3,0.26410817800001496,0.8,0.13334073991778692
10001,0.2,hotspot,1,GuardedFill,1657.3766666666668,0.35310973365539516,1,1,2,0.7123091305773591,588,1,0.23753342199995586,0.8,0.13334073991778692
10001,0.2,hotspot,2,GRR,1600.1508333333334,0.6253676085744,1,1,2,0.6914361216934891,1013,1,0.19356415800001514,0.8,0.13334073991778692
10001,0.2,hotspot,2,RotatingGreedy,1654.7716666666668,0.34920276009882534,2,3,18,0.7147069310311613,562,6,0.2243314809999788,0.8,0.13334073991778692
10001,0.2,hotspot,2,AgeMIS,1656.1983333333333,0.3478609144033675,1,2,5,0.7136581153378927,574,3,0.2642077280000308,0.8,0.13334073991778692
10001,0.2,hotspot,2,GuardedFill,1656.0541666666666,0.3532805136707988,1,1,2,0.7121263704765359,578,1,0.2418788019999738,0.8,0.13334073991778692
10001,0.2,hotspot,3,GRR,1599.5366666666666,0.625197192520334,1,1,2,0.6910549588485053,972,1,0.1870787729999961,0.8,0.13334073991778692
10001,0.2,hotspot,3,RotatingGreedy,1653.9416666666666,0.3493185471071632,2,3,16,0.7142523239680777,563,4,0.21541542800002844,0.8,0.13334073991778692
10001,0.2,hotspot,3,AgeMIS,1655.5408333333332,0.34782490515435793,1,2,5,0.7132996425311526,559,3,0.2620420360000253,0.8,0.13334073991778692
10001,0.2,hotspot,3,GuardedFill,1655.3041666666666,0.3531234189084081,1,1,2,0.7117656411364598,568,1,0.23831699200002276,0.8,0.13334073991778692
10001,0.2,hotspot,4,GRR,1600.7508333333333,0.6249025847766231,1,1,2,0.6916661248270232,990,1,0.18791927299997724,0.8,0.13334073991778692
10001,0.2,hotspot,4,RotatingGreedy,1655.5433333333333,0.34828193362501336,2,3,19,0.7152359555234875,563,5,0.21116368699995292,0.8,0.13334073991778692
10001,0.2,hotspot,4,AgeMIS,1657.0966666666666,0.34693761578986543,1,2,5,0.714112874548214,565,2,0.2691767339999842,0.8,0.13334073991778692
10001,0.2,hotspot,4,GuardedFill,1656.9783333333332,0.3523059545135875,1,1,2,0.712505449907511,576,1,0.23529542099998935,0.8,0.13334073991778692
10001,0.4,uniform,0,GRR,3200.4783333333335,0.6253622505385914,1,1,2,0.999034550565078,2031,1,0.26677677499998254,0.4,0.4
10001,0.4,uniform,0,RotatingGreedy,3368.4691666666668,0.4703152742727099,2,3,12,0.9988039309306167,1600,5,0.34327724299998863,0.4,0.4
10001,0.4,uniform,0,AgeMIS,3364.16,0.4741017569517106,1,2,6,0.9989265788008744,1617,3,0.42011080000003176,0.4,0.4
10001,0.4,uniform,0,GuardedFill,3329.4808333333335,0.5043526555816885,1,1,2,0.9989627033259475,1710,1,0.34997599800004764,0.4,0.4
10001,0.4,uniform,1,GRR,3199.7341666666666,0.6251745913267274,1,1,2,0.9990419493657663,1986,1,0.268558717000019,0.4,0.4
10001,0.4,uniform,1,RotatingGreedy,3366.2875,0.4699962495776133,2,3,12,0.9987866824802296,1619,6,0.3398014819999844,0.4,0.4
10001,0.4,uniform,1,AgeMIS,3362.7775,0.47375916683951486,1,2,6,0.9989341936400794,1627,3,0.4167439119999585,0.4,0.4
10001,0.4,uniform,1,GuardedFill,3328.7891666666665,0.5039192178737664,1,1,2,0.998978553049344,1676,1,0.3488293780000049,0.4,0.4
10001,0.4,uniform,2,GRR,3199.9583333333335,0.6252331410565242,1,1,2,0.9990703298164298,2001,2,0.26503157799999144,0.4,0.4
10001,0.4,uniform,2,RotatingGreedy,3367.4683333333332,0.4703444377848641,2,3,11,0.9988254946877844,1591,6,0.3400247459999832,0.4,0.4
10001,0.4,uniform,2,AgeMIS,3362.8758333333335,0.4740629981630306,1,2,6,0.998964549584166,1604,4,0.4179218380000407,0.4,0.4
10001,0.4,uniform,2,GuardedFill,3329.375,0.5039083912145673,1,1,2,0.9990002215285141,1668,2,0.3507502780000209,0.4,0.4
10001,0.4,uniform,3,GRR,3199.2391666666667,0.6253809825096436,1,1,2,0.999054028720956,1985,1,0.2765101000000527,0.4,0.4
10001,0.4,uniform,3,RotatingGreedy,3366.7541666666666,0.4700860497437567,2,3,10,0.9988037108321197,1563,6,0.3418731880000223,0.4,0.4
10001,0.4,uniform,3,AgeMIS,3362.5041666666666,0.47417363795088235,1,2,7,0.9989394571069318,1568,5,0.41236987299998873,0.4,0.4
10001,0.4,uniform,3,GuardedFill,3328.6216666666664,0.5040412122535204,1,1,2,0.998990871683259,1688,1,0.3480562260000397,0.4,0.4
10001,0.4,uniform,4,GRR,3200.4841666666666,0.6254636993725688,1,1,2,0.9990705240346439,1989,1,0.27232275900001923,0.4,0.4
10001,0.4,uniform,4,RotatingGreedy,3368.18,0.46991401884697376,2,3,10,0.998842897835411,1607,6,0.35009570300002224,0.4,0.4
10001,0.4,uniform,4,AgeMIS,3363.650833333333,0.47421836541198664,1,2,6,0.9989691643386309,1643,3,0.4143541679999885,0.4,0.4
10001,0.4,uniform,4,GuardedFill,3329.5808333333334,0.5043415124576492,1,1,2,0.9990081295140825,1678,1,0.36197948999995333,0.4,0.4
10001,0.4,hotspot,0,GRR,3031.2466666666664,0.6601291107948984,1,1,2,0.9549666056980518,2041,2,0.25295593399999916,0.95,0.33889567825797134
10001,0.4,hotspot,0,RotatingGreedy,3183.4283333333333,0.48640171471322585,2,3,14,0.964545331904853,1528,6,0.31966911900002515,0.95,0.33889567825797134
10001,0.4,hotspot,0,AgeMIS,3182.0516666666667,0.48831911905893,1,2,5,0.9645157741468358,1522,3,0.4172717719999923,0.95,0.33889567825797134
10001,0.4,hotspot,0,GuardedFill,3157.8858333333333,0.5148652988563287,1,1,2,0.9631215733622303,1614,1,0.32431877899995243,0.95,0.33889567825797134
