arch,artifact,policy,N,workload,app,seed,measure_s,tick_us,sched_jitter_us,dispatch_jitter_us,meals,throughput_s,mean_wait_ms,p50_wait_ms,p95_wait_ms,p99_wait_ms,max_wait_ms,jain,min_meals,max_meals,zero_workers,scheduler_ticks,guard_obligations,max_owed_age_ms
arm64,result-ubuntu-24.04-arm-N501-kv-bursty,gfgrr,501,bursty,kv,7,2.0,200,120,80,235613,117806.5,0.30489,0.278294,0.571611,0.809698,2.161587,0.997943,426,506,0,9549,140582,1.563402
arm64,result-ubuntu-24.04-arm-N501-kv-bursty,dguard,501,bursty,kv,7,2.0,200,120,80,248056,124028.0,0.004056,0.000216,0.000384,0.118545,1.648287,0.997762,453,539,0,0,0,0.0
arm64,result-ubuntu-24.04-arm-N501-kv-bursty,fifo,501,bursty,kv,7,2.0,200,120,80,183875,91937.5,1.510664,1.464963,2.30617,2.73465,3.523687,0.998693,343,388,0,12843,0,0.0
arm64,result-ubuntu-24.04-arm-N501-kv-bursty,waiter,501,bursty,kv,7,2.0,200,120,80,248250,124125.0,0.085953,0.077443,0.134535,0.154235,0.427485,0.997762,453,539,0,0,0,0.0
arm64,result-ubuntu-24.04-arm-N501-kv-bursty,agemwis,501,bursty,kv,7,2.0,200,120,80,235517,117758.5,0.306177,0.282765,0.557851,0.763267,3.611915,0.997951,426,505,0,9460,0,0.0
arm64,result-ubuntu-24.04-arm-N501-kv-bursty,gfgrr,501,bursty,kv,8,2.0,200,120,80,235970,117985.0,0.301676,0.278902,0.554001,0.756342,1.530948,0.998834,430,501,0,9590,140200,0.999862
arm64,result-ubuntu-24.04-arm-N501-kv-bursty,dguard,501,bursty,kv,8,2.0,200,120,80,248478,124239.0,0.003913,0.000224,0.000376,0.116748,0.459386,0.998785,460,536,0,0,0,0.0
arm64,result-ubuntu-24.04-arm-N501-kv-bursty,fifo,501,bursty,kv,8,2.0,200,120,80,184836,92418.0,1.461134,1.452021,2.12154,2.450689,3.265321,0.999417,346,389,0,13181,0,0.0
arm64,result-ubuntu-24.04-arm-N501-kv-bursty,waiter,501,bursty,kv,8,2.0,200,120,80,248554,124277.0,0.086373,0.078667,0.135151,0.15707,1.451826,0.998786,461,537,0,0,0,0.0
arm64,result-ubuntu-24.04-arm-N501-kv-bursty,agemwis,501,bursty,kv,8,2.0,200,120,80,235954,117977.0,0.301871,0.27743,0.553564,0.764117,3.304761,0.998823,430,501,0,9640,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,gfgrr,501,bursty,ledger,1,2.0,200,120,80,145082,72541.0,2.903054,2.590574,6.019107,8.261339,17.814518,0.992938,220,345,0,1164,130873,13.305844
x86_64,result-ubuntu-24.04-N501-ledger-bursty,dguard,501,bursty,ledger,1,2.0,200,120,80,242923,121461.5,0.006371,0.0001,0.045279,0.152726,2.865141,0.999109,453,513,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,fifo,501,bursty,ledger,1,2.0,200,120,80,120288,60144.0,4.36972,4.289218,5.541063,6.68564,8.41859,0.999248,222,254,0,8045,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,waiter,501,bursty,ledger,1,2.0,200,120,80,243619,121809.5,0.104469,0.106077,0.166116,0.225426,1.155616,0.999109,453,516,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,agemwis,501,bursty,ledger,1,2.0,200,120,80,147057,73528.5,2.821553,2.638487,5.396227,6.791234,15.013148,0.993366,230,347,0,1153,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,gfgrr,501,bursty,ledger,2,2.0,200,120,80,150770,75385.0,2.690804,2.488624,5.213462,6.622419,18.145678,0.993477,236,350,0,1243,136689,11.995308
x86_64,result-ubuntu-24.04-N501-ledger-bursty,dguard,501,bursty,ledger,2,2.0,200,120,80,248296,124148.0,0.005646,0.0001,0.04013,0.144179,1.15871,0.999062,458,523,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,fifo,501,bursty,ledger,2,2.0,200,120,80,116875,58437.5,4.648323,4.615779,5.846048,6.310124,7.418765,0.999045,217,255,0,7701,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,waiter,501,bursty,ledger,2,2.0,200,120,80,248612,124306.0,0.103829,0.105389,0.167002,0.23213,1.917992,0.999064,458,523,0,0,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,agemwis,501,bursty,ledger,2,2.0,200,120,80,163091,81545.5,2.19811,2.057131,4.178831,5.363281,13.028763,0.994191,262,381,0,1437,0,0.0
x86_64,result-ubuntu-24.04-N501-ledger-bursty,gfgrr,501,bursty,ledger,3,2.0,200,120,80,155339,77669.5,2.471716,2.286314,4.780915,6.201897,15.86905,0.994056,249,370,0,1329,138347,13.324554
x86_64,result-ubuntu-24.04-N501-ledger-bursty,dguard,501,bursty,ledger,3,2.0,200,120,80,242947,121473.5,0.028068,0.0001,0.054222,0.171654,165.508278,0.998858,443,519,0,0,0,0.0
