arch,N,app,workload,policy,throughput_s,throughput_sd,p95_wait_ms,p99_wait_ms,max_wait_ms,jain,zero_workers,mean_wait_ms
arm64,501,ledger,bursty,fifo,92518.8125,673.26692528192,2.201427125,2.62188825,3.90439075,0.99913775,0.0,1.489035125
arm64,501,ledger,bursty,gfgrr,118340.25,1544.783410615963,0.566456875,0.8119888749999999,2.596611125,0.99901725,0.0,0.301568125
arm64,501,ledger,bursty,waiter,124735.8125,1009.3175890351431,0.13445575,0.15531725,0.81560625,0.999099,0.0,0.086257375
arm64,501,ledger,saturated,agemwis,173640.625,2224.6400631819683,5.207341875,7.075674,19.335060249999998,0.996972,0.0,2.88485525
arm64,501,ledger,saturated,dguard,275775.4375,7323.284018591957,5.18689575,9.129950875,38.571711875,0.884020375,0.0,1.1971475
arm64,501,ledger,saturated,fifo,14959.5,20437.354006468504,72.1286695,73.989253875,74.956439625,0.999724125,0.0,66.53072025
arm64,501,ledger,saturated,gfgrr,177665.4375,4940.252830701076,3.3055995,5.497100125,25.48439475,0.996794,0.0,2.820964625
arm64,501,ledger,saturated,waiter,10281.875,77.75177995206437,0.133353375,707.874125,2072.76450475,0.061757375,202.5,16.992336125
arm64,501,sleep,bursty,agemwis,77296.6875,477.79253847399957,2.884027625,4.05810925,9.585833375,0.99924975,0.0,0.937083
arm64,501,sleep,bursty,dguard,75350.1875,906.7105750813142,2.919757125,4.767795,66.77653674999999,0.9990026249999999,0.0,0.85658875
arm64,501,sleep,bursty,fifo,9761.0625,305.3031792333645,54.023177375,57.327507875,60.055365375,0.9997905,0.0,45.81746375
arm64,501,sleep,bursty,gfgrr,76999.25,496.23467950442245,2.9169875,4.0855205,10.398295625,0.99924175,0.0,0.9611015
arm64,501,sleep,bursty,waiter,77444.1875,477.61131368957945,3.2404455,5.094946625,13.35827625,0.9992195,0.0,0.923741375
arm64,501,sleep,saturated,agemwis,124348.25,1485.6798347654099,0.733537375,26.043184375,1211.100019875,0.830880125,0.0,2.2395826249999997
arm64,501,sleep,saturated,dguard,78712.75,1268.8182071743545,20.376996,39.052968375,144.37014812500001,0.98874125,0.0,3.7841727499999998
arm64,501,sleep,saturated,fifo,1052.8125,1176.7223527815363,707.6129834999999,710.12521525,712.043766,0.970937125,0.0,606.2811168750001
arm64,501,sleep,saturated,gfgrr,115919.1875,1364.7999575421834,10.5566515,17.046033,53.52035175,0.99810825,0.0,2.69752675
arm64,501,sleep,saturated,waiter,588.0,11.631238725334198,559.110245375,1620.005849125,2038.255505875,0.03398325,389.25,88.463077875
x86_64,101,kv,bursty,agemwis,24515.5625,314.47659889091875,0.319295,0.495165625,1.946273375,0.9989595,0.0,0.19122825
x86_64,101,kv,bursty,dguard,25088.1875,384.05123704861523,0.000324,0.135335875,0.964295125,0.998902375,0.0,0.004678375
x86_64,101,kv,bursty,fifo,24427.75,358.5531440984128,0.3708625,0.61863625,2.340608875,0.99897825,0.0,0.2079055
x86_64,101,kv,bursty,gfgrr,24532.625,340.9578681554992,0.31369625,0.48966862499999997,1.8273169999999999,0.99895575,0.0,0.189054375
x86_64,101,kv,bursty,waiter,25103.8125,387.29961984969,0.13973175,0.172138625,1.002577375,0.9989015,0.0,0.09332262499999999
x86_64,101,kv,saturated,agemwis,77293.625,1061.8353635501646,2.39158525,3.234933875,7.4904062499999995,0.99222075,0.0,1.30516325
x86_64,101,kv,saturated,dguard,95065.5625,2224.823916587878,3.330619375,5.142370875,21.141450374999998,0.99249575,0.0,0.692687
x86_64,101,kv,saturated,fifo,27945.375,8713.421161592369,6.96589,8.484867625,9.9772195,0.999991875,0.0,4.526409
x86_64,101,kv,saturated,gfgrr,76193.625,2408.2497905266027,2.18474475,3.031475875,9.5761585,0.991197375,0.0,1.325054
x86_64,101,kv,saturated,waiter,10147.875,323.77789455118756,99.7430905,149.481934,187.70680049999999,0.714795125,0.0,9.767672875
x86_64,101,ledger,bursty,agemwis,24580.0625,273.24811298525015,0.29658,0.460820875,1.689384,0.999103,0.0,0.179493375
x86_64,101,ledger,bursty,dguard,25114.9375,266.1791069266815,0.000329375,0.1298295,0.706579375,0.999078375,0.0,0.00429025
x86_64,101,ledger,bursty,fifo,24470.1875,225.96300858768862,0.37035212500000003,0.65128975,1.6700585,0.99911175,0.0,0.19842325
x86_64,101,ledger,bursty,gfgrr,24587.0,273.1069910702187,0.296214,0.452522,1.72735675,0.999102625,0.0,0.17834925
x86_64,101,ledger,bursty,waiter,25116.875,285.42233744800996,0.143753375,0.183330125,0.7521815000000001,0.999081875,0.0,0.092236125
x86_64,101,ledger,saturated,agemwis,79498.6875,1772.1541761672834,2.665352125,3.711460875,8.891932375,0.989350875,0.0,1.27062675
x86_64,101,ledger,saturated,dguard,103001.0,2654.1332187471567,3.0763768750000002,5.32424275,29.171003125000002,0.998392375,0.0,0.63071775
x86_64,101,ledger,saturated,fifo,21083.8125,6637.072843061703,8.9687175,10.3986295,12.533102375,0.999984875,0.0,5.594854625
x86_64,101,ledger,saturated,gfgrr,78704.375,3204.4905629221507,2.252238375,3.208803125,9.447429375,0.98806875,0.0,1.284833375
x86_64,101,ledger,saturated,waiter,9115.0625,170.78755338975128,91.16072675,120.17046175,153.827301125,0.794015375,0.0,11.106142125
